site_id,users,freq,freq_before,bw,bw_before,power,power_before,snr,parazit_after,parazit_before,datetime
Site_C1,90,3442,3437,36.45,45.0,72.25,100.0,10.0,0.000352,0.000549,2025-05-01 17:00:00
Site_C2,115,3444,3444,40.5,45.0,85.0,100.0,9.0,0.000487,0.000644,2025-05-01 17:00:00
Site_C3,140,3446,3451,45.0,45.0,100.0,100.0,8.0,0.0,0.0,2025-05-01 17:00:00
Site_C1,90,3442,3437,36.45,45.0,72.25,100.0,10.0,0.000352,0.000549,2025-05-01 18:00:00
Site_C2,115,3444,3444,40.5,45.0,85.0,100.0,9.0,0.000487,0.000644,2025-05-01 18:00:00
Site_C3,140,3446,3451,45.0,45.0,100.0,100.0,8.0,0.0,0.0,2025-05-01 18:00:00
Site_C1,90,3442,3437,36.45,45.0,72.25,100.0,10.0,0.000352,0.000549,2025-05-01 19:00:00
Site_C2,115,3444,3444,40.5,45.0,85.0,100.0,9.0,0.000487,0.000644,2025-05-01 19:00:00
Site_C3,140,3446,3451,45.0,45.0,100.0,100.0,8.0,0.0,0.0,2025-05-01 19:00:00
